,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.7622950819672131,0.3524590163934426,0.1885245901639344,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥5%,0.7295081967213115,0.3360655737704918,0.1885245901639344,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥10%,0.6885245901639344,0.319672131147541,0.18032786885245902,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥15%,0.6475409836065574,0.3114754098360656,0.18032786885245902,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥20%,0.6147540983606558,0.3114754098360656,0.18032786885245902,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥25%,0.6065573770491803,0.3114754098360656,0.18032786885245902,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥30%,0.5901639344262295,0.3114754098360656,0.18032786885245902,0.09016393442622951,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥35%,0.5737704918032787,0.29508196721311475,0.1721311475409836,0.08196721311475409,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥40%,0.5573770491803278,0.28688524590163933,0.1721311475409836,0.08196721311475409,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥45%,0.5409836065573771,0.2786885245901639,0.1721311475409836,0.08196721311475409,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
speedup≥50%,0.5163934426229508,0.2540983606557377,0.16393442622950818,0.08196721311475409,0.07377049180327869,0.04918032786885246,0.03278688524590164,0.03278688524590164,0.02459016393442623,0.01639344262295082,0.00819672131147541
