,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.9646017699115044,0.8584070796460177,0.7787610619469026,0.6991150442477876,0.6194690265486725,0.5398230088495575,0.48672566371681414,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥5%,0.9557522123893806,0.8584070796460177,0.7787610619469026,0.6991150442477876,0.6194690265486725,0.5398230088495575,0.48672566371681414,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥10%,0.9380530973451328,0.8407079646017699,0.7699115044247787,0.6902654867256637,0.6194690265486725,0.5398230088495575,0.48672566371681414,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥15%,0.9203539823008849,0.8407079646017699,0.7699115044247787,0.6902654867256637,0.6194690265486725,0.5398230088495575,0.48672566371681414,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥20%,0.9026548672566371,0.831858407079646,0.7610619469026548,0.6814159292035398,0.6106194690265486,0.5309734513274337,0.4778761061946903,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥25%,0.8672566371681416,0.8053097345132744,0.7433628318584071,0.672566371681416,0.6017699115044248,0.5221238938053098,0.4778761061946903,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥30%,0.8230088495575221,0.7787610619469026,0.7256637168141593,0.6548672566371682,0.5929203539823009,0.5221238938053098,0.4778761061946903,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥35%,0.8053097345132744,0.7610619469026548,0.7079646017699115,0.6460176991150443,0.5929203539823009,0.5221238938053098,0.4778761061946903,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥40%,0.7876106194690266,0.7433628318584071,0.6902654867256637,0.6283185840707964,0.5929203539823009,0.5221238938053098,0.4778761061946903,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥45%,0.7876106194690266,0.7433628318584071,0.6902654867256637,0.6283185840707964,0.5929203539823009,0.5221238938053098,0.4778761061946903,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
speedup≥50%,0.7610619469026548,0.7256637168141593,0.6814159292035398,0.6194690265486725,0.584070796460177,0.5132743362831859,0.4690265486725664,0.39823008849557523,0.336283185840708,0.23893805309734514,0.1592920353982301
