,loss≥0%,loss≥5%,loss≥10%,loss≥15%,loss≥20%,loss≥25%,loss≥30%,loss≥35%,loss≥40%,loss≥45%,loss≥50%
speedup≥0%,0.7377049180327869,0.18032786885245902,0.040983606557377046,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥5%,0.680327868852459,0.16393442622950818,0.03278688524590164,0.01639344262295082,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥10%,0.6557377049180327,0.1557377049180328,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥15%,0.6311475409836066,0.14754098360655737,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥20%,0.6065573770491803,0.13934426229508196,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥25%,0.5983606557377049,0.13934426229508196,0.02459016393442623,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥30%,0.5655737704918032,0.12295081967213115,0.01639344262295082,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥35%,0.5327868852459017,0.10655737704918032,0.01639344262295082,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥40%,0.5081967213114754,0.09836065573770492,0.01639344262295082,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥45%,0.5,0.09836065573770492,0.01639344262295082,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
speedup≥50%,0.5,0.09836065573770492,0.01639344262295082,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0
