task,dataset,method_key,splitter,variant,analysis_tier,metric,unit,estimate,ci_low,ci_high,confidence,n_paired_runs,resampling_scope
regression,1027_ESL,best|,best,,confirmatory,time_saved_pct,percent_training_time,0,0,0,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,best|,best,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,0,0,0,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,best|,best,,confirmatory,effort_saved_pct,percent_gain_evaluations,0,0,0,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,block_rank|,block_rank,,confirmatory,time_saved_pct,percent_training_time,22.526708483812552,20.240098732180801,23.832266383776346,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,block_rank|,block_rank,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,1.8682878474939324,1.3750395710883045,2.5605295014214269,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,block_rank|,block_rank,,confirmatory,effort_saved_pct,percent_gain_evaluations,42.863805585499613,42.06224457717699,43.372538791258002,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|0.1n,double_secretary,0.1n,exploratory,time_saved_pct,percent_training_time,13.709812226943152,11.199278629391928,15.748651079146637,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|0.1n,double_secretary,0.1n,exploratory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,-0.029037660031805412,-0.51939763497814706,0.5495036822140198,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|0.1n,double_secretary,0.1n,exploratory,effort_saved_pct,percent_gain_evaluations,-3.8999744787431845,-4.6975525818434001,-2.9817953546767084,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|1overe,double_secretary,1overe,confirmatory,time_saved_pct,percent_training_time,11.231542985786547,8.9143365839806759,12.893518310915953,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|1overe,double_secretary,1overe,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,-0.029037660031805412,-0.51939763497814706,0.5495036822140198,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|1overe,double_secretary,1overe,confirmatory,effort_saved_pct,percent_gain_evaluations,-3.8999744787431845,-4.6975525818434001,-2.9817953546767084,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|ln_n,double_secretary,ln_n,exploratory,time_saved_pct,percent_training_time,13.56261904864925,10.539086401521857,14.993131868126873,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|ln_n,double_secretary,ln_n,exploratory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,-0.029037660031805412,-0.51939763497814706,0.5495036822140198,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|ln_n,double_secretary,ln_n,exploratory,effort_saved_pct,percent_gain_evaluations,-3.8999744787431845,-4.6975525818434001,-2.9817953546767084,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,time_saved_pct,percent_training_time,11.709097985494344,8.5946883758227131,13.572542901724937,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,0.30838705535656818,-0.23869868394870153,0.79225378486719178,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,double_secretary|sqrt_n,double_secretary,sqrt_n,exploratory,effort_saved_pct,percent_gain_evaluations,-6.0263659420950244,-7.0119683195328726,-5.144291091593467,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,time_saved_pct,percent_training_time,27.160870945515647,23.841503724390588,29.289425470297893,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,3.960081330694265,3.3085236064261392,4.3524747001744579,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=1,extra_tree,max_features=1,confirmatory,effort_saved_pct,percent_gain_evaluations,75.804179137404134,75.761381475667193,75.871258542832848,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,time_saved_pct,percent_training_time,27.051861596090653,24.71886421142333,28.205564735525797,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,3.960081330694265,3.3085236064261392,4.3524747001744579,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=1over3,extra_tree,max_features=1over3,confirmatory,effort_saved_pct,percent_gain_evaluations,75.804179137404134,75.761381475667193,75.871258542832848,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,time_saved_pct,percent_training_time,23.167309800802862,21.374205711883398,24.751621117046383,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,0.82988301455466096,0.32190799252193208,1.547173171517624,0.94999999999999996,100,paired_runs_within_dataset
regression,1027_ESL,extra_tree|max_features=2over3,extra_tree,max_features=2over3,confirmatory,effort_saved_pct,percent_gain_evaluations,60.975993969537654,60.842990364721658,61.191222570532908,0.94999999999999996,100,paired_runs_within_dataset
