task,method_key,splitter,variant,analysis_tier,metric,unit,estimand,estimate,confidence,n_datasets,n_bootstrap,interval_method,within_ci_low,within_ci_high,within_se,between_ci_low,between_ci_high,between_se,hierarchical_ci_low,hierarchical_ci_high,hierarchical_se
regression,best|,best,,confirmatory,time_saved_pct,percent_training_time,centroid_mean,0,0.94999999999999996,113,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,time_saved_pct,percent_training_time,cross_dataset_median,0,0.94999999999999996,113,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,centroid_mean,0,0.94999999999999996,113,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,cross_dataset_median,0,0.94999999999999996,113,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,effort_saved_pct,percent_gain_evaluations,centroid_mean,0,0.94999999999999996,113,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0
regression,best|,best,,confirmatory,effort_saved_pct,percent_gain_evaluations,cross_dataset_median,0,0.94999999999999996,113,10000,percentile_bootstrap,0,0,0,0,0,0,0,0,0
regression,block_rank|,block_rank,,confirmatory,time_saved_pct,percent_training_time,centroid_mean,60.460765219473004,0.94999999999999996,113,10000,percentile_bootstrap,60.239443556237134,60.56127751103967,0.082351486859249937,55.791804875244964,65.055995018926041,2.3525736751825264,55.739819832239107,65.02919497162884,2.3626375992314732
regression,block_rank|,block_rank,,confirmatory,time_saved_pct,percent_training_time,cross_dataset_median,63.064453901170324,0.94999999999999996,113,10000,percentile_bootstrap,62.39406643934857,64.215232401262298,0.432210237600615,59.041613913493677,74.77265700189875,4.3447359163162291,59.078031583349549,74.824699092212313,4.3145128617467376
regression,block_rank|,block_rank,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,centroid_mean,31.334101261493462,0.94999999999999996,113,10000,percentile_bootstrap,31.144941929413857,31.604922435543706,0.11865544755257089,27.258104339030972,35.320356421815319,2.0541876248166187,27.287277136025555,35.350728491144821,2.0540052325572744
regression,block_rank|,block_rank,,confirmatory,predictive_loss_pct,percent_bounded_relative_RMSE_loss,cross_dataset_median,31.90733657964558,0.94999999999999996,113,10000,percentile_bootstrap,31.524316218174555,33.282079108965313,0.52488551622423785,24.761476543515627,39.231020623225241,3.7195512294628346,24.86876253730096,39.282829298858971,3.6930805074987973
