task,dataset,n_methods,n_runs_union,n_complete_paired_runs,min_method_runs,max_method_runs,excluded_run_ids,complete_block_status
regression,1027_ESL,19,100,100,100,100,,complete
regression,1028_SWD,19,100,100,100,100,,complete
regression,1029_LEV,19,100,100,100,100,,complete
regression,1030_ERA,19,100,100,100,100,,complete
regression,1089_USCrime,19,100,100,100,100,,complete
regression,1096_FacultySalaries,19,100,100,100,100,,complete
regression,1193_BNG_lowbwt,19,100,100,100,100,,complete
regression,1199_BNG_echoMonths,19,100,100,100,100,,complete
regression,197_cpu_act,19,100,100,100,100,,complete
regression,201_pol,19,100,100,100,100,,complete
regression,210_cloud,19,100,100,100,100,,complete
regression,215_2dplanes,19,100,100,100,100,,complete
regression,218_house_8L,19,100,100,100,100,,complete
regression,225_puma8NH,19,100,100,100,100,,complete
regression,227_cpu_small,19,100,100,100,100,,complete
regression,228_elusage,19,100,100,100,100,,complete
regression,229_pwLinear,19,100,100,100,100,,complete
regression,230_machine_cpu,19,100,100,100,100,,complete
regression,294_satellite_image,19,100,100,100,100,,complete
regression,344_mv,19,100,100,100,100,,complete
regression,4544_GeographicalOriginalofMusic,19,100,100,100,100,,complete
regression,485_analcatdata_vehicle,19,100,100,100,100,,complete
regression,503_wind,19,100,100,100,100,,complete
regression,505_tecator,19,100,100,100,100,,complete
regression,519_vinnie,19,100,100,100,100,,complete
regression,522_pm10,19,100,100,100,100,,complete
regression,523_analcatdata_neavote,19,100,100,100,100,,complete
regression,527_analcatdata_election2000,19,100,100,100,100,,complete
regression,529_pollen,19,100,100,100,100,,complete
regression,537_houses,19,100,100,100,100,,complete
regression,542_pollution,19,100,100,100,100,,complete
regression,547_no2,19,100,100,100,100,,complete
regression,556_analcatdata_apnea2,19,100,100,100,100,,complete
regression,557_analcatdata_apnea1,19,100,100,100,100,,complete
regression,560_bodyfat,19,100,100,100,100,,complete
regression,561_cpu,19,100,100,100,100,,complete
regression,562_cpu_small,19,100,100,100,100,,complete
regression,564_fried,19,99,99,99,99,4,incomplete_flagged
regression,573_cpu_act,19,100,100,100,100,,complete
regression,574_house_16H,19,100,100,100,100,,complete
regression,579_fri_c0_250_5,19,100,100,100,100,,complete
regression,581_fri_c3_500_25,19,100,100,100,100,,complete
regression,582_fri_c1_500_25,19,100,100,100,100,,complete
regression,583_fri_c1_1000_50,19,100,100,100,100,,complete
regression,584_fri_c4_500_25,19,100,100,100,100,,complete
regression,586_fri_c3_1000_25,19,100,100,100,100,,complete
regression,588_fri_c4_1000_100,19,100,100,100,100,,complete
regression,589_fri_c2_1000_25,19,100,100,100,100,,complete
regression,590_fri_c0_1000_50,19,100,100,100,100,,complete
regression,591_fri_c1_100_10,19,100,100,100,100,,complete
regression,592_fri_c4_1000_25,19,100,100,100,100,,complete
regression,593_fri_c1_1000_10,19,100,100,100,100,,complete
regression,594_fri_c2_100_5,19,100,100,100,100,,complete
regression,595_fri_c0_1000_10,19,100,100,100,100,,complete
regression,596_fri_c2_250_5,19,100,100,100,100,,complete
regression,597_fri_c2_500_5,19,100,100,100,100,,complete
regression,598_fri_c0_1000_25,19,100,100,100,100,,complete
regression,599_fri_c2_1000_5,19,100,100,100,100,,complete
regression,601_fri_c1_250_5,19,100,100,100,100,,complete
regression,602_fri_c3_250_10,19,100,100,100,100,,complete
regression,603_fri_c0_250_50,19,100,100,100,100,,complete
regression,604_fri_c4_500_10,19,100,100,100,100,,complete
regression,605_fri_c2_250_25,19,100,100,100,100,,complete
regression,606_fri_c2_1000_10,19,100,100,100,100,,complete
regression,607_fri_c4_1000_50,19,100,100,100,100,,complete
regression,608_fri_c3_1000_10,19,100,100,100,100,,complete
regression,609_fri_c0_1000_5,19,100,100,100,100,,complete
regression,611_fri_c3_100_5,19,100,100,100,100,,complete
regression,612_fri_c1_1000_5,19,100,100,100,100,,complete
regression,613_fri_c3_250_5,19,100,100,100,100,,complete
regression,615_fri_c4_250_10,19,100,100,100,100,,complete
regression,616_fri_c4_500_50,19,100,100,100,100,,complete
regression,617_fri_c3_500_5,19,100,100,100,100,,complete
regression,618_fri_c3_1000_50,19,100,100,100,100,,complete
regression,620_fri_c1_1000_25,19,100,100,100,100,,complete
regression,621_fri_c0_100_10,19,100,100,100,100,,complete
regression,622_fri_c2_1000_50,19,100,100,100,100,,complete
regression,623_fri_c4_1000_10,19,100,100,100,100,,complete
regression,624_fri_c0_100_5,19,100,100,100,100,,complete
regression,626_fri_c2_500_50,19,100,100,100,100,,complete
regression,627_fri_c2_500_10,19,100,100,100,100,,complete
regression,628_fri_c3_1000_5,19,100,100,100,100,,complete
regression,631_fri_c1_500_5,19,100,100,100,100,,complete
regression,633_fri_c0_500_25,19,100,100,100,100,,complete
regression,634_fri_c2_100_10,19,100,100,100,100,,complete
regression,635_fri_c0_250_10,19,100,100,100,100,,complete
regression,637_fri_c1_500_50,19,100,100,100,100,,complete
